ИвановБМ;;;;;;;;
ИвановДГ;;;;;;;;
Иванов-ЛозовскийГМ;;;;;;;;
ИвановМФ;;;;;;;;
ИвановНЛ;;;;;;;;
ИвановПП;;;1;;2;1;4;
ИвановСВ;;;;;;;;
ИвановСП;;;;;;;;
ИвашинцеваМИ;;;;;;;;
ИвковскийСК;;;;;;;;
ИгнатьевМИ;;;;2;2;6;;4
Иелита-ВольскийФА;;;;;;;;
ИжакевичАА;;;;;;;;
ИжакевичИС;;;;;;;;
ИжевскаяМП;;;;;;;;
ИзмайловичВМ;;1;3;12;8;6;16;7
ИзоевПФ;;;;1;2;;;
Икар;;;;;;;;
ИконниковАД;;;;;;;;
ИльинЛН;;;;;;;;
ИльинскийВК;;;;;;;;
ИмеретинскаяОФ;;;;;;;;
ИонинНА;;;;;;;;
ИоффеМС;;;;2;4;1;7;3
ИсуповАВ;;;;;;;;
ЙенсенДИ;;;;;;;;
Кавос-ЗаруднаяЕС;;;;;1;;;
КавтарадзеАК;;;;;;;;
КавтарадзеКЗ;;;;;;8;;
КагородовАД;;;;;;;;
КазаковИС;;;;;;;;
КазановскаяМА;;;;;;;;
КазановскийВЛ;;;;;;;;
КазанцеваЕВ;;;;;;;;
КазанцевВП;;;;;;;;
КазенЖ;;;;;;;;
КайгородовАД;;;;;;;;
КакабадзеДН;;;;;;;;
КалачевЕА;;;;;;;;
КалашниковЕА;;;;;;;;
КалмаковНК;;;;;;;;
КалмыковГО;;;;2;2;6;;5
КалмыковИЛ;;;1;;;;;
Калупов;;;;;;;;
КамаровВИ;;;;;;;;
КамбаровИА;;;;;;;;
КаменевЛЛ;;;;;;;;
КаменскийБМ;;;;;;;;
КаменскийГП;;;;;;;;
КаменскийПП;;;;;;;;
КаменскийФМ;;;;;;;;
КаменскийФФ;;;;;;;;
КаменцеваЕИ;;;;;;;;
КандауровАИ;;;;;;;;
КандинскийВВ;;;;;;;;
КанольдтА;;;;;;;;
КанцеровАГ;;;;;;;;
КаплунАВ;;;;;;;;
КаразинНН;;;;;;;;
Каргус-СмоленскийВР;;;;;1;;;
КардовскийДН;;;;;;;;
КаревАЕ;;;;;;;;
КарелинАА;;;;;;;;
Карем-ВайнштейнЕС;;;;;;;;
КаринскаяА;;;;;;;;
КарнеевАЕ;;;;;;;;
КародоссиВ;;;;;;;;
Карпинская-ГерунгЕГ;;;;;;;;
Карпова-КоншевскаяЕГ;;;;;;;;
КарриерГ;;;;;;;;
КарцевПС;;;;;;;;
КасаткинНА;;;;;;;;
КасаткинНН;;;;;;;;
Кастан;;;;;;;;
КасцовКГ;;;;;;;;
КатуркинТИ;;;;;;;;
КафкаВА;;;;;;;;
КашкадамоваЕН;;;;;;;;
КелерКИ;;;;;;;;
КелинПИ;;;;;;;;
КеллерАВ;;;;;;;;
КеллерИП;;;;;;;;
КельхВФ;;;;;;;;
КельхПИ;;;;;;;;
КеммингГА;;3;2;14;11;5;;11
КерзинМА;;;;;;;;
КерковаСЛ;;;;;1;1;;
КибальчичТВ;;;;;;;;
КившенкоАД;;;;;;;;
КикертК;;;;;;;;
КирилловаАМ;;;;;;;;
КиринарскийМА;;;;;;;;
КирсановКВ;;;;;;;;
КирьяцкойЕО;2;;;;;;;
КиселевАА;1;3;;;;;;
Киселев-КамскийАА;;;;;;;15;
КиселевС;;;;;;;;
КисельБА;;;;;;;;
Китаева-ЦыхановскаяАВ;;;;;;;;
КитаевВН;;;;;;;;
КишневскийСЯ;;;;1;;;;
КлагесФА;;;;;;;;
КлакачеваСЛ;;;;;1;;;
КлевезальА;;;;2;;;;
КлеверМ;;;;;3;2;;
КлеверО;;;;;7;3;;
КлеверЮЮ;;;;;2;;;
Клейнек;;;;;;;;
КлементьевАН;;3;;;;;;
КлеттенбергАП;;;;;;;;
КлименкоД;;;;1;1;;;
КлименкоДВ;;;1;;;;;
КлодтМК;;;;;;;;
КлодтМП;;;;;;;;
КлодтНА;;;;;;;;
КлодтПК;;;;;;;;
КлокачеваЕН;2;3;;2;1;;;1
КлоповВА;;;;;;;;
КлюкКФ;;;;;;;;
КлюшниковСА;;;;;;;;
Кнюпфер;;;;;;;;
КнязьковаВВ;;;;;;;;
КовалевскийПО;;;;;;;;
Ковальская-ИльинаПВ;;;;;;;;
КозловВВ;;;;;;;;
КозловПС;;;;;;;;
Козловская;;;;;;;;
КозловскаяМА;;;;;;;;
КокелинФ;;;;;;;;
КолесниковИО;;;;;;;;
Колесова-РощинаАИ;;;;;;;;
КолпаковскаяВН;;;;;;;;
КолупаевДА;;;;;;;;
КомароваАТ;;;;;;;;
КомаровВП;;;;;;;;
КомаровДВ;;;;;3;;;
КомашкоАМ;;;;;;;;
КонашевичВМ;;;;;;;;
КондерШ;;;;;;;;
КондратенкоГП;15;10;11;5;13;14;9;15
КондратенкоКП;;;;;;;;
КондратьевВВ;;;;;;;;
КоненковСТ;;;;;;;;
КонновАИ;;;;;;;;
КоноваловаАС;;;;;;;;
КоноваловВВ;;;;;;;;
КонстантиноваАО;;;;;;;;
КонстантиновНК;;2;;;2;;1;2
КонстантинопольНК;;;;12;;;;
КончаловскийПП;;;;;;;;
КоптевГН;;;;;;;;
КореневВФ;;;;;;;;
Коренев-НовороссийскийВФ;;;;;;;;
КорженевскийС;;;;;;;;
КорзухинАИ;;;;;;;;
КоринАМ;;;;;;;;
КоринсскаяА;;;;;;;;
КорневВФ;;;;;;;;
КорнеевФМ;;;;;;;;
КорниловНВ;;;;;;;;
КоробковСТ;;;;;;;;
КоровинКА;;;;;;;;
КоровинПИ;;;;;;;;
КоровинСА;;;;;;;;
КорогодовСМ;;;;;;;;
КоролевАП;;;;;;;;
КорсаковЮП;;;;;;;;
КорсунМП;;;;;;;;
КорфВН;;;;;;;;
КосмаковИА;;;;;;;;
КоссакВ;1;;;;;;;
КостандиКК;;;;;;;;
КостенкоКЕ;;;;;;;;
КостенкоСП;;;;;;;;
КострицЛМ;;;;;;;;
КотарбинскийВА;;;;;;;;
КотляревскийАМ;;;;;;;;
КотовГИ;;;;;;;;
КохПП;;;;;;;;
КоцебуАЕ;;;;;;;;
КочетоваОА;;;;;;;;
КошелевНА;1;;6;3;;12;5;
КравченкоАИ;;;;;;;;
КравченкоНИ;;;;;;;;
КрамскаяСИ;;;;;;;;
КрамскойИН;;;;;;;;
КрандиевскаяНВ;;;;;;;;
КрапоткинаМН;;;;;;;;
КрарупТФ;;;;;;;1;
КрасиковВА;;;;;;;;
КрасковскийИЕ;;;;;;;;
КраснухаСП;;;;;;;;
КраснушкинаЕЗ;;;;;4;;;
КрасовскийНП;;;;;;;;
КрачковскийИЕ;;;;;;;;
КрейтанВП;;;;;;;;
КремерБД;1;;;;;;;
